conversation_id,condition,model_a,model_b,prompt_id,num_turns,repetitiveness,coherence,hedging,response_length_trend,vocab_diversity,question_freq,formality,sentiment_drift,turn_length_variance,detective_guess,detective_correct
conv_ai_ai_freeform_gpt54mini_gpt54_F2_1775411257,ai_ai_freeform,gpt-5.4-mini,gpt-5.4,F2,20,0.0027,0.1451,1.2303,-6.1596,0.3424,1.0,0.0,-0.0941,68.6596,,
conv_ai_ai_freeform_gpt54mini_gpt54_F2_1775411981,ai_ai_freeform,gpt-5.4-mini,gpt-5.4,F2,20,0.0034,0.2058,1.1013,9.3368,0.2533,1.6,0.0,0.0155,73.1529,,
conv_ai_ai_freeform_gpt54mini_gpt54_F3_1775413169,ai_ai_freeform,gpt-5.4-mini,gpt-5.4,F3,20,0.0131,0.1724,0.2169,-1.0842,0.2881,0.15,0.0,-0.0116,54.6705,,
conv_ai_ai_freeform_gpt54mini_gpt54_F5_1775413262,ai_ai_freeform,gpt-5.4-mini,gpt-5.4,F5,20,0.0069,0.2324,0.9877,11.1316,0.2224,0.9,0.0,-0.0361,95.3361,,
conv_ai_ai_freeform_gpt54mini_grok41fast_F3_1775423867,ai_ai_freeform,gpt-5.4-mini,grok-4-1-fast,F3,20,0.0081,0.1273,0.1178,-0.307,0.3781,2.15,0.012,0.0506,74.1012,,
conv_ai_ai_freeform_gpt54mini_grok41fast_F4_1775423710,ai_ai_freeform,gpt-5.4-mini,grok-4-1-fast,F4,20,0.0053,0.1143,0.3561,-0.7246,0.4298,1.95,0.0,0.0555,28.4491,,
conv_ai_ai_freeform_gpt54mini_grok41fast_F5_1775423794,ai_ai_freeform,gpt-5.4-mini,grok-4-1-fast,F5,20,0.0063,0.1264,0.3453,-0.4386,0.3621,0.8,0.0,0.0532,61.3337,,
conv_ai_ai_freeform_gpt54mini_llama4scout_F1_1775423947,ai_ai_freeform,gpt-5.4-mini,llama-4-scout,F1,20,0.0118,0.2258,1.4662,10.7474,0.1947,1.35,0.0081,-0.0976,82.2961,,
conv_ai_ai_freeform_gpt54mini_llama4scout_F2_1775423993,ai_ai_freeform,gpt-5.4-mini,llama-4-scout,F2,20,0.0132,0.2201,1.1924,7.1333,0.2098,1.4,0.0,-0.007,78.051,,
conv_ai_ai_freeform_gpt54mini_llama4scout_F5_1775424038,ai_ai_freeform,gpt-5.4-mini,llama-4-scout,F5,20,0.013,0.2817,1.4896,-8.914,0.2565,0.8,0.0115,0.1506,73.5287,,
conv_ai_ai_freeform_persona_claudesonnet4_gemini25flash_F2_1775424633,ai_ai_freeform_persona,claude-sonnet-4,gemini-2.5-flash,F2,20,0.0022,0.155,0.5291,-5.4912,0.3942,0.6,0.0,0.0301,43.4073,,
conv_ai_ai_freeform_persona_claudesonnet4_gemini25flash_F4_1775424748,ai_ai_freeform_persona,claude-sonnet-4,gemini-2.5-flash,F4,20,0.0024,0.1443,0.9606,-0.0684,0.3684,1.4,0.0625,0.0542,38.9442,,
conv_ai_ai_freeform_persona_claudesonnet4_gemini25flash_F5_1775424545,ai_ai_freeform_persona,claude-sonnet-4,gemini-2.5-flash,F5,20,0.0012,0.1711,0.9901,1.0158,0.367,0.75,0.0,-0.1443,19.6957,,
conv_ai_ai_freeform_persona_claudesonnet4_grok41fast_F2_1775425124,ai_ai_freeform_persona,claude-sonnet-4,grok-4-1-fast,F2,20,0.0008,0.1108,0.2203,0.2842,0.4192,1.05,0.0,0.076,31.919,,
conv_ai_ai_freeform_persona_claudesonnet4_grok41fast_F3_1775424909,ai_ai_freeform_persona,claude-sonnet-4,grok-4-1-fast,F3,20,0.0011,0.1268,0.4802,1.4439,0.416,1.05,0.0,-0.0474,33.4684,,
conv_ai_ai_freeform_persona_claudesonnet4_grok41fast_F5_1775425024,ai_ai_freeform_persona,claude-sonnet-4,grok-4-1-fast,F5,20,0.0014,0.1453,0.406,1.3193,0.431,1.75,0.0,-0.0464,24.7308,,
conv_ai_ai_freeform_persona_gemini25flash_grok41fast_F1_1775425610,ai_ai_freeform_persona,gemini-2.5-flash,grok-4-1-fast,F1,20,0.0012,0.1159,0.597,0.6351,0.4587,1.0,0.0893,-0.064,25.7765,,
conv_ai_ai_freeform_persona_gemini25flash_grok41fast_F2_1775425536,ai_ai_freeform_persona,gemini-2.5-flash,grok-4-1-fast,F2,20,0.0019,0.1229,0.4112,1.7421,0.4161,1.2,0.0,0.1106,24.5557,,
conv_ai_ai_freeform_persona_gemini25flash_grok41fast_F4_1775425470,ai_ai_freeform_persona,gemini-2.5-flash,grok-4-1-fast,F4,20,0.0039,0.1541,0.4087,-1.9614,0.4319,0.55,0.0,0.1198,13.1402,,
conv_ai_ai_freeform_persona_gpt54_claudesonnet4_F1_1775423860,ai_ai_freeform_persona,gpt-5.4,claude-sonnet-4,F1,20,0.0024,0.1457,0.9967,-0.5982,0.3721,0.5,0.0,-0.0797,35.3795,,
conv_ai_ai_freeform_persona_gpt54_claudesonnet4_F2_1775423755,ai_ai_freeform_persona,gpt-5.4,claude-sonnet-4,F2,20,0.0003,0.1474,0.625,-4.4368,0.4039,0.6,0.0,0.1046,32.8865,,
conv_ai_ai_freeform_persona_gpt54_claudesonnet4_F4_1775423636,ai_ai_freeform_persona,gpt-5.4,claude-sonnet-4,F4,20,0.0014,0.1663,0.6173,-1.1842,0.3673,0.55,0.0094,-0.0736,38.9281,,
conv_ai_ai_freeform_persona_gpt54_gemini25flash_F2_1775424000,ai_ai_freeform_persona,gpt-5.4,gemini-2.5-flash,F2,20,0.0059,0.158,0.9412,0.1281,0.3671,0.6,0.0217,0.0463,17.6905,,
conv_ai_ai_freeform_persona_gpt54_gemini25flash_F4_1775424122,ai_ai_freeform_persona,gpt-5.4,gemini-2.5-flash,F4,20,0.0023,0.1589,1.1659,0.2614,0.4009,0.55,0.0,0.0733,8.3752,,
conv_ai_ai_freeform_persona_gpt54_gemini25flash_F5_1775424063,ai_ai_freeform_persona,gpt-5.4,gemini-2.5-flash,F5,20,0.0036,0.1253,1.4911,1.1719,0.425,0.45,0.0638,-0.0161,19.8623,,
conv_ai_ai_freeform_persona_gpt54_grok41fast_F2_1775424182,ai_ai_freeform_persona,gpt-5.4,grok-4-1-fast,F2,20,0.0009,0.135,0.6098,0.7263,0.4329,0.85,0.0,0.0361,17.8627,,
conv_ai_ai_freeform_persona_gpt54_grok41fast_F3_1775424338,ai_ai_freeform_persona,gpt-5.4,grok-4-1-fast,F3,20,0.0014,0.1305,0.5513,-0.3175,0.4741,0.7,0.0,0.0543,9.4511,,
conv_ai_ai_freeform_persona_gpt54_grok41fast_F5_1775424263,ai_ai_freeform_persona,gpt-5.4,grok-4-1-fast,F5,20,0.0008,0.1247,0.6726,-0.7105,0.454,0.65,0.0,0.2718,14.3448,,
conv_ai_ai_freeform_persona_gpt54_llama4scout_F1_1775424409,ai_ai_freeform_persona,gpt-5.4,llama-4-scout,F1,20,0.0074,0.1529,0.4608,-0.4281,0.377,0.85,0.0,0.0694,12.1824,,
conv_ai_ai_freeform_persona_gpt54_llama4scout_F3_1775424454,ai_ai_freeform_persona,gpt-5.4,llama-4-scout,F3,20,0.0071,0.1284,1.0091,-0.3035,0.4188,0.5,0.0,-0.1586,7.3356,,
conv_ai_ai_freeform_persona_gpt54_llama4scout_F5_1775424497,ai_ai_freeform_persona,gpt-5.4,llama-4-scout,F5,20,0.0084,0.1385,1.0375,-0.2193,0.3695,0.25,0.0,0.0084,11.9024,,
conv_ai_ai_freeform_persona_gpt54mini_claudesonnet4_F1_1775413438,ai_ai_freeform_persona,gpt-5.4-mini,claude-sonnet-4,F1,20,0.0032,0.1492,1.5072,2.7246,0.3676,0.7,0.0,-0.0497,26.2777,,
conv_ai_ai_freeform_persona_gpt54mini_claudesonnet4_F4_1775413250,ai_ai_freeform_persona,gpt-5.4-mini,claude-sonnet-4,F4,20,0.0029,0.1599,0.9326,2.314,0.3409,0.4,0.0,-0.003,24.9298,,
conv_ai_ai_freeform_persona_gpt54mini_claudesonnet4_F5_1775413341,ai_ai_freeform_persona,gpt-5.4-mini,claude-sonnet-4,F5,20,0.0012,0.1604,1.3058,1.9456,0.3471,1.05,0.0,0.0271,19.8981,,
conv_ai_ai_freeform_persona_gpt54mini_gemini25flash_F3_1775413577,ai_ai_freeform_persona,gpt-5.4-mini,gemini-2.5-flash,F3,20,0.0025,0.16,0.959,-0.3737,0.4019,0.45,0.0,-0.0316,10.6833,,
conv_ai_ai_freeform_persona_gpt54mini_gemini25flash_F4_1775423293,ai_ai_freeform_persona,gpt-5.4-mini,gemini-2.5-flash,F4,20,0.0028,0.1537,1.1191,0.6579,0.3933,0.65,0.0,0.0542,15.6616,,
conv_ai_ai_freeform_persona_gpt54mini_gemini25flash_F5_1775413525,ai_ai_freeform_persona,gpt-5.4-mini,gemini-2.5-flash,F5,20,0.009,0.1335,1.0917,2.0298,0.3384,0.4,0.0,0.0728,24.6361,,
conv_ai_ai_freeform_persona_gpt54mini_gpt54_F1_1775413144,ai_ai_freeform_persona,gpt-5.4-mini,gpt-5.4,F1,20,0.0046,0.1603,0.9615,-0.3053,0.4263,0.4,0.0,-0.0094,7.416,,
conv_ai_ai_freeform_persona_gpt54mini_gpt54_F2_1775413194,ai_ai_freeform_persona,gpt-5.4-mini,gpt-5.4,F2,20,0.0057,0.1894,0.8071,-1.0421,0.364,0.3,0.0,0.0042,14.1108,,
conv_ai_ai_freeform_persona_gpt54mini_gpt54_F3_1775411873,ai_ai_freeform_persona,gpt-5.4-mini,gpt-5.4,F3,20,0.0015,0.1426,0.8658,-0.286,0.4365,0.25,0.0,-0.0599,10.4394,,
conv_ai_ai_freeform_persona_gpt54mini_gpt54_F3_1775412079,ai_ai_freeform_persona,gpt-5.4-mini,gpt-5.4,F3,20,0.0071,0.1786,1.7127,-1.0333,0.4006,0.2,0.0833,-0.0377,8.5629,,
conv_ai_ai_freeform_persona_gpt54mini_gpt54_F5_1775413092,ai_ai_freeform_persona,gpt-5.4-mini,gpt-5.4,F5,20,0.002,0.1698,1.1617,0.0825,0.3785,0.5,0.0,0.0845,9.7401,,
conv_ai_ai_freeform_persona_gpt54mini_grok41fast_F1_1775423345,ai_ai_freeform_persona,gpt-5.4-mini,grok-4-1-fast,F1,20,0.0044,0.1441,0.7361,0.1842,0.429,0.8,0.0,-0.0361,14.7729,,
conv_ai_ai_freeform_persona_gpt54mini_grok41fast_F2_1775423400,ai_ai_freeform_persona,gpt-5.4-mini,grok-4-1-fast,F2,20,0.0007,0.1426,0.9917,0.9035,0.4132,0.65,0.0,-0.0516,15.0572,,
conv_ai_ai_freeform_persona_gpt54mini_grok41fast_F3_1775423465,ai_ai_freeform_persona,gpt-5.4-mini,grok-4-1-fast,F3,20,0.0059,0.1176,0.6863,0.2614,0.4324,0.55,0.0,-0.0467,16.9652,,
conv_ai_ai_freeform_persona_gpt54mini_llama4scout_F2_1775423565,ai_ai_freeform_persona,gpt-5.4-mini,llama-4-scout,F2,20,0.0073,0.1655,1.2019,-0.2789,0.3654,0.2,0.0175,0.1324,10.5174,,
conv_ai_ai_freeform_persona_gpt54mini_llama4scout_F3_1775423600,ai_ai_freeform_persona,gpt-5.4-mini,llama-4-scout,F3,20,0.007,0.1623,0.8505,0.1649,0.3366,0.65,0.0159,0.1076,10.3864,,
conv_ai_ai_freeform_persona_gpt54mini_llama4scout_F4_1775423530,ai_ai_freeform_persona,gpt-5.4-mini,llama-4-scout,F4,20,0.0073,0.1597,0.6012,-0.1649,0.3657,0.3,0.0,0.2219,12.2906,,
conv_ai_ai_reverse_turing_claudesonnet4_gpt54mini_F2_1775423379,ai_ai_reverse_turing,claude-sonnet-4,gpt-5.4-mini,F2,20,0.0044,0.2099,1.0514,-0.9018,0.2589,2.05,0.0,0.0547,44.8666,,
conv_ai_ai_reverse_turing_claudesonnet4_gpt54mini_F4_1775413578,ai_ai_reverse_turing,claude-sonnet-4,gpt-5.4-mini,F4,20,0.0054,0.1876,0.5996,3.2667,0.2633,1.75,0.0063,-0.0001,43.4148,,
conv_ai_ai_reverse_turing_claudesonnet4_llama4scout_F3_1775423504,ai_ai_reverse_turing,claude-sonnet-4,llama-4-scout,F3,20,0.0198,0.2082,1.891,-3.8754,0.2287,2.5,0.0403,0.0655,46.8862,,
conv_ai_ai_reverse_turing_claudesonnet4_llama4scout_F4_1775423625,ai_ai_reverse_turing,claude-sonnet-4,llama-4-scout,F4,20,0.0076,0.2168,1.3427,-0.5807,0.2255,3.9,0.0148,-0.0398,27.3351,,
conv_ai_ai_reverse_turing_gemini25flash_claudesonnet4_F1_1775423967,ai_ai_reverse_turing,gemini-2.5-flash,claude-sonnet-4,F1,20,0.0034,0.2189,0.9755,9.6579,0.2646,2.5,0.009,-0.0819,76.8699,,
conv_ai_ai_reverse_turing_gemini25flash_claudesonnet4_F2_1775423748,ai_ai_reverse_turing,gemini-2.5-flash,claude-sonnet-4,F2,20,0.0075,0.2088,1.1099,5.7298,0.2333,3.5,0.0341,-0.0387,94.4141,,
conv_ai_ai_reverse_turing_gemini25flash_gpt54mini_F1_1775424177,ai_ai_reverse_turing,gemini-2.5-flash,gpt-5.4-mini,F1,20,0.0018,0.1775,1.0413,2.0614,0.307,1.9,0.0,0.042,55.9133,,
conv_ai_ai_reverse_turing_gemini25flash_gpt54mini_F3_1775424242,ai_ai_reverse_turing,gemini-2.5-flash,gpt-5.4-mini,F3,20,0.0035,0.1889,0.9236,-0.1912,0.2731,1.2,0.0,0.1067,45.5242,,
conv_ai_ai_reverse_turing_gpt54mini_claudesonnet4_F4_1775413263,ai_ai_reverse_turing,gpt-5.4-mini,claude-sonnet-4,F4,20,0.0076,0.2198,1.1837,2.8895,0.2349,1.35,0.0,0.109,45.1781,,
conv_ai_ai_reverse_turing_gpt54mini_claudesonnet4_F5_1775413397,ai_ai_reverse_turing,gpt-5.4-mini,claude-sonnet-4,F5,20,0.0039,0.1907,1.2635,1.586,0.2663,1.85,0.0,0.0362,34.3709,,
conv_ai_ai_reverse_turing_gpt54mini_gemini25flash_F3_1775413185,ai_ai_reverse_turing,gpt-5.4-mini,gemini-2.5-flash,F3,20,0.0036,0.1873,1.1201,-5.5,0.2844,1.55,0.0088,0.0159,62.4417,,
conv_ai_ai_reverse_turing_gpt54mini_gemini25flash_F5_1775413094,ai_ai_reverse_turing,gpt-5.4-mini,gemini-2.5-flash,F5,20,0.0029,0.1841,0.9539,-5.1667,0.2716,1.65,0.018,0.0645,89.8111,,
conv_ai_ai_reverse_turing_gpt54mini_llama4scout_F1_1775412257,ai_ai_reverse_turing,gpt-5.4-mini,llama-4-scout,F1,20,0.011,0.1716,1.0912,-6.9807,0.279,1.2,0.0097,0.0913,81.0011,,
conv_ai_ai_reverse_turing_gpt54mini_llama4scout_F1_1775412731,ai_ai_reverse_turing,gpt-5.4-mini,llama-4-scout,F1,20,0.0122,0.1455,1.3915,4.5509,0.2809,1.3,0.0,0.078,69.8847,,
conv_ai_ai_reverse_turing_gpt54mini_llama4scout_F4_1775412779,ai_ai_reverse_turing,gpt-5.4-mini,llama-4-scout,F4,20,0.0107,0.1974,1.2462,-0.7298,0.2354,1.15,0.0086,0.1236,59.762,,
conv_ai_ai_reverse_turing_llama4scout_gemini25flash_F2_1775424480,ai_ai_reverse_turing,llama-4-scout,gemini-2.5-flash,F2,20,0.036,0.2563,1.0489,-3.1351,0.2098,2.35,0.0796,0.1102,74.5777,,
conv_ai_ai_reverse_turing_llama4scout_gemini25flash_F5_1775424403,ai_ai_reverse_turing,llama-4-scout,gemini-2.5-flash,F5,20,0.0957,0.2071,0.8652,-6.9404,0.2237,1.95,0.0367,0.1087,99.5112,,
